from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type
2510166,2510163,,,179423993,180033586,0
2510166,2510163,,,179423993,176961282,0
2511003,2511004,,,180052885,180068120,0
2511983,2511982,,,176961247,177614106,0
2510231,2510231,,,177619129,179183450,0
2510173,2510173,,,177619129,178865932,0
2510173,2510173,,,179812007,176966365,0
2510231,2510231,,,176967052,180038740,0
2510231,2510231,,,176967052,177609472,0
2512470,2512463,,,178236646,178240525,0
2512377,2512376,,,176965848,176967773,0
2510899,2510901,,,179786868,177615738,0
2510738,2510737,,,177614090,180034140,0
2511004,2511003,,,177614090,176966590,0
2512148,2512149,,,176957874,178843872,0
2512202,2512203,,,180026909,176958266,0
2511004,2511005,,,180045648,180052014,0
2512131,2512134,,,176962372,179790977,0
2510231,2510231,,,176966113,176962503,0
2511903,2511902,,,180068270,180034685,0
2511273,2511276,,,178262462,178239235,0
2510071,2510070,,,178262462,178256674,0
2510067,2510064,,,180035841,180062906,0
2510231,2510231,,,179439673,180037776,0
2510148,2510147,,,179804932,176965574,0
2511439,2511447,,,179183121,180048355,0
2511439,2511445,,,179183121,179790098,0
2512442,2512441,,,177613396,179179283,0
2512141,2512149,,,179804208,179418769,0
2511981,2511979,,,179804208,176961182,0
2510148,2510147,,,179804208,178249041,0
2511410,2511411,,,180047973,180045366,0
2510628,2510630,,,176965624,179447359,0
2511533,2511532,,,180037120,180031015,0
2510507,2510515,,,176969035,176966940,0
2510908,2510908,,,176971161,176963473,1
2510908,2510908,,,176971117,176963399,1
2511215,2511216,,,176973028,179789209,0
2511004,2511003,,,178247924,176966601,0
2511102,2511098,,,176972724,176972744,3
2511442,2511447,,,179429680,180029466,0
2511442,2511439,,,179429680,176962235,0
2511447,2511448,,,179806723,176962571,0
2511439,2511447,,,176960696,176960042,0
2512375,2512374,,,180055856,180048495,0
2511274,2511276,,,180035538,180036121,0
2510231,2510231,,,176966254,178855172,0
2510231,2510231,,,176966254,179428599,0
2511846,2511849,,,177606099,176973199,0
2511982,2511979,,,180054876,176961335,0
2512440,2512439,,,176965442,176964497,1
2512473,2512470,,,178240566,176960401,0
2510738,2510737,,,178248183,179794136,0
2511004,2511003,,,178242662,176966939,0
2509997,2509988,,,176963918,179801244,0
2509997,2509988,,,176963918,178244858,0
2509997,2509988,,,176963918,178244855,0
2512144,2512141,,,176963918,176964988,0
2510177,2510173,,,176963918,179440054,0
2510615,2510618,,,176964891,177463906,0
2510231,2510231,,,176967096,180038882,0
2510231,2510231,,,176967096,177461575,0
2510173,2510173,,,176967096,176966296,0
2510173,2510173,,,176967096,177617631,0
2511981,2511979,,,179807004,176962297,0
2512375,2512374,,,180054636,180049781,0
2510059,2510062,,,177605482,178239455,0
2510202,2510200,,,180042967,176960715,0
2511896,2511897,,,176970944,176960630,0
2511981,2511979,,,179424246,180048495,0
2510901,2510908,,,176965454,179430916,0
2512171,2512174,,,176965454,176966296,0
2511005,2511006,,,178253847,176962829,0
2511183,2511184,,,178231736,176966239,0
2512131,2512134,,,176962363,179422033,0
2510901,2510908,,,176962363,179427949,0
2511003,2511006,,,176966763,178856249,0
2511013,2511014,,,176962398,176971139,0
2510738,2510737,,,176959742,177603533,0
2510161,2510157,,,176958733,176969401,0
2510231,2510228,,,176966337,180044636,0
2510231,2510228,,,176966337,180067961,0
